[QC] INFO [ContainerBackgroundProcessor[StandardEngine[Catalina]]] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(303) | Loading XML bean definitions from ServletContext resource [/WEB-INF/classes/spring-servlet.xml]
[QC] INFO [ContainerBackgroundProcessor[StandardEngine[Catalina]]] org.springframework.context.support.AbstractApplicationContext.obtainFreshBeanFactory(398) | Bean factory for application context [org.springframework.web.context.support.XmlWebApplicationContext@41d9a8]: org.springframework.beans.factory.support.DefaultListableBeanFactory@695958
[QC] INFO [ContainerBackgroundProcessor[StandardEngine[Catalina]]] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(175) | Loading properties file from class path resource [config.properties]
[QC] INFO [ContainerBackgroundProcessor[StandardEngine[Catalina]]] org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(276) | Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@695958: defining beans [urlMapping,propertyConfigurer,exceptionResolver,viewResolver,methodNameResolver,modelController,remoteSectionController,beehiveDatabaseController,lircRevisionChangesController,lircSyncController,lircHistoryController]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@5f2465
[QC] INFO [ContainerBackgroundProcessor[StandardEngine[Catalina]]] org.springframework.web.servlet.FrameworkServlet.initServletBean(250) | FrameworkServlet 'dispatcherServlet': initialization completed in 109 ms
[QC] WARN [http-8080-Processor25] org.apache.catalina.core.ApplicationDispatcher.invoke(633) | Servlet jsp is currently unavailable
[QC] INFO [ContainerBackgroundProcessor[StandardEngine[Catalina]]] org.apache.catalina.core.ApplicationContext.log(647) | Destroying Spring FrameworkServlet 'dispatcherServlet'
[QC] INFO [ContainerBackgroundProcessor[StandardEngine[Catalina]]] org.springframework.context.support.AbstractApplicationContext.doClose(696) | Closing org.springframework.web.context.support.XmlWebApplicationContext@41d9a8: display name [WebApplicationContext for namespace 'dispatcherServlet-servlet']; startup date [Sun May 24 14:58:12 CST 2009]; parent: org.springframework.web.context.support.XmlWebApplicationContext@1fb911a
[QC] INFO [ContainerBackgroundProcessor[StandardEngine[Catalina]]] org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.destroySingletons(282) | Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@695958: defining beans [urlMapping,propertyConfigurer,exceptionResolver,viewResolver,methodNameResolver,modelController,remoteSectionController,beehiveDatabaseController,lircRevisionChangesController,lircSyncController,lircHistoryController]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@5f2465
[QC] INFO [ContainerBackgroundProcessor[StandardEngine[Catalina]]] org.apache.catalina.core.ApplicationContext.log(647) | Shutting down Log4J
[QC] INFO [main] org.apache.catalina.core.ApplicationContext.log(647) | Initializing Spring FrameworkServlet 'dispatcherServlet'
[QC] INFO [main] org.springframework.web.servlet.FrameworkServlet.initServletBean(231) | FrameworkServlet 'dispatcherServlet': initialization started
[QC] INFO [main] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(383) | Refreshing org.springframework.web.context.support.XmlWebApplicationContext@4610fa: display name [WebApplicationContext for namespace 'dispatcherServlet-servlet']; startup date [Sun May 24 14:58:44 CST 2009]; parent: org.springframework.web.context.support.XmlWebApplicationContext@d4ff95
[QC] INFO [main] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(303) | Loading XML bean definitions from ServletContext resource [/WEB-INF/classes/spring-servlet.xml]
[QC] INFO [main] org.springframework.context.support.AbstractApplicationContext.obtainFreshBeanFactory(398) | Bean factory for application context [org.springframework.web.context.support.XmlWebApplicationContext@4610fa]: org.springframework.beans.factory.support.DefaultListableBeanFactory@1b68d78
[QC] INFO [main] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(175) | Loading properties file from class path resource [config.properties]
[QC] INFO [main] org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(276) | Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@1b68d78: defining beans [urlMapping,propertyConfigurer,exceptionResolver,viewResolver,methodNameResolver,modelController,remoteSectionController,beehiveDatabaseController,lircRevisionChangesController,lircSyncController,lircHistoryController]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@1c160cb
[QC] INFO [main] org.springframework.web.servlet.FrameworkServlet.initServletBean(250) | FrameworkServlet 'dispatcherServlet': initialization completed in 110 ms
[QC] INFO [ContainerBackgroundProcessor[StandardEngine[Catalina]]] org.apache.catalina.core.ApplicationContext.log(647) | Destroying Spring FrameworkServlet 'dispatcherServlet'
[QC] INFO [ContainerBackgroundProcessor[StandardEngine[Catalina]]] org.springframework.context.support.AbstractApplicationContext.doClose(696) | Closing org.springframework.web.context.support.XmlWebApplicationContext@4610fa: display name [WebApplicationContext for namespace 'dispatcherServlet-servlet']; startup date [Sun May 24 14:58:44 CST 2009]; parent: org.springframework.web.context.support.XmlWebApplicationContext@d4ff95
